(1, 0.703353)
(2, 0.71473)
(3, 0.709559)
(4, 0.713786)
(5, 0.712943)
(6, 0.701872)
(7, 0.693549)
(8, 0.683538)
(9, 0.669548)
(10, 0.645073)
(11, 0.62499)
(12, 0.620852)
(13, 0.611292)
(14, 0.598629)
(15, 0.592278)
(16, 0.579367)
(17, 0.563401)
(18, 0.562355)
(19, 0.558014)
(20, 0.54493)
(21, 0.514857)
(22, 0.473622)
(23, 0.471563)
(24, 0.477688)
(25, 0.433763)
(26, 0.433562)
(27, 0.419151)
(28, 0.402275)
(29, 0.389357)
(30, 0.387116)
(31, 0.359439)
(32, 0.35527)
(33, 0.347825)
(34, 0.330842)
(35, 0.319338)
(36, 0.319346)
(37, 0.293432)
(38, 0.288731)
(39, 0.281516)
(40, 0.274789)
(41, 0.251402)
(42, 0.233962)
(43, 0.230923)
(44, 0.225959)
(45, 0.223471)
(46, 0.205092)
(47, 0.197124)
(48, 0.188349)
(49, 0.178808)
(50, 0.171163)
