(1, 0.432449)
(2, 0.435576)
(3, 0.438315)
(4, 0.440506)
(5, 0.442671)
(6, 0.448247)
(7, 0.450336)
(8, 0.454786)
(9, 0.458624)
(10, 0.463905)
(11, 0.472802)
(12, 0.475094)
(13, 0.48342)
(14, 0.491634)
(15, 0.498842)
(16, 0.510398)
(17, 0.526418)
(18, 0.533691)
(19, 0.543522)
(20, 0.55506)
(21, 0.576248)
(22, 0.605361)
(23, 0.610295)
(24, 0.612736)
(25, 0.640748)
(26, 0.647498)
(27, 0.658239)
(28, 0.669953)
(29, 0.679954)
(30, 0.684149)
(31, 0.697291)
(32, 0.700685)
(33, 0.706853)
(34, 0.718164)
(35, 0.724754)
(36, 0.727372)
(37, 0.742686)
(38, 0.749401)
(39, 0.757805)
(40, 0.764203)
(41, 0.779222)
(42, 0.794207)
(43, 0.797633)
(44, 0.804302)
(45, 0.811213)
(46, 0.822894)
(47, 0.82841)
(48, 0.834853)
(49, 0.842856)
(50, 0.848163)
